Chapecoense-SC;0.4406282158436411;0.4314476860685099
Coritiba-PR;0.36024081300506466;0.5385001546542474
Palmeiras-SP;0.6077137472390692;0.49263986340744453
Atlético-MG;0.8601592652130711;0.5340876506181647
Fluminense-RJ;0.46384447156937664;0.4677297236095341
Joinville-SC;0.17189861025599568;0.5096484597457829
Grêmio-RS;0.6731386722574009;0.5996193454468861
PontePreta-SP;0.680870483690892;0.5822217330260991
SãoPaulo-SP;0.6128239440716358;0.41673511932411617
Flamengo-RJ;0.4966666229081948;0.6824153865014535
Sport-PE;0.8638718302135832;0.4404789799619054
Figueirense-SC;0.3575106283061533;0.7271240300332915
Cruzeiro-MG;0.31765802685676253;0.4119486104075551
Corinthians-SP;0.5280023652721633;0.24234689515328273
Atlético-PR;0.6271018138860568;0.3823403443245457
Internacional-RS;0.3084162630056465;0.5553796815658532
Avaí-SC;0.4233342380094414;0.5727727579800023
Santos-SP;0.5435276184409655;0.4796200188145382
VascodaGama-RJ;0.17117058083394082;0.4833070745323204
Goiás-GO;0.33712226808893975;0.29533696379245994
